head_event	relation	tail_event
[PersonX wraps PersonY's arms]. [PersonX wraps PersonY's arms]	InstanceOf	hold
[PersonX wraps PersonY's arms]. [PersonX wraps PersonY's arms]	InstanceOf	type of intimacy
[PersonX wraps PersonY's arms]. [PersonX wraps PersonY's arms]	InstanceOf	embrace
[PersonX wraps PersonY's arms]. [PersonX wraps PersonY's arms]	InstanceOf	cuddling
[PersonX wraps PersonY's arms]. [PersonX wraps PersonY's arms]	InstanceOf	holding
[PersonX wraps PersonY's arms]. [PersonX wraps PersonY's arms]	InstanceOf	bodily contact
PersonX seems [really cool]. [really cool]	InstanceOf	nice
PersonX seems [really cool]. [really cool]	InstanceOf	cool
PersonX seems [really cool]. [really cool]	InstanceOf	fun
PersonX seems [really cool]. [really cool]	InstanceOf	interesting
PersonX seems [really cool]. [really cool]	InstanceOf	great
[PersonX depends upon the number]. [PersonX depends upon the number]	InstanceOf	dependence
[PersonX depends upon the number]. [PersonX depends upon the number]	InstanceOf	needs
[PersonX depends upon the number]. [PersonX depends upon the number]	InstanceOf	reliance
[PersonX listens to PersonY's stories]. [PersonX listens to PersonY's stories]	InstanceOf	attention
[PersonX listens to PersonY's stories]. [PersonX listens to PersonY's stories]	InstanceOf	listening
[PersonX is having a great time]. [PersonX is having a great time]	InstanceOf	experience
[PersonX is having a great time]. [PersonX is having a great time]	InstanceOf	fun
[PersonX lets PersonY win]. [PersonX lets PersonY win]	InstanceOf	concession
[PersonX stays up all night studying]. [PersonX stays up all night studying]	InstanceOf	learning
[PersonX misses PersonX's friends]. [PersonX misses PersonX's friends]	InstanceOf	feeling
[PersonX misses PersonX's friends]. [PersonX misses PersonX's friends]	InstanceOf	emotion
[PersonX misses PersonX's friends]. [PersonX misses PersonX's friends]	InstanceOf	loneliness
[PersonX misses PersonX's friends]. [PersonX misses PersonX's friends]	InstanceOf	negative feeling
[PersonX misses PersonX's friends]. [PersonX misses PersonX's friends]	InstanceOf	negative emotion
[PersonX makes a silk purse of a sows ear]. [PersonX makes a silk purse of a sows ear]	InstanceOf	activity
[PersonX makes a silk purse of a sows ear]. [PersonX makes a silk purse of a sows ear]	InstanceOf	skill
[PersonX makes a silk purse of a sows ear]. [PersonX makes a silk purse of a sows ear]	InstanceOf	crafty activity
PersonX quits [PersonX's old job]. [PersonX's old job]	InstanceOf	job
PersonX quits [PersonX's old job]. [PersonX's old job]	InstanceOf	work
PersonX quits [PersonX's old job]. [PersonX's old job]	InstanceOf	profession
PersonX quits [PersonX's old job]. [PersonX's old job]	InstanceOf	position
PersonX quits [PersonX's old job]. [PersonX's old job]	InstanceOf	employment
[PersonX becomes like PersonY]. [PersonX becomes like PersonY]	InstanceOf	changes
[PersonX sees what was wrong]. [PersonX sees what was wrong]	InstanceOf	perception
[PersonX sees what was wrong]. [PersonX sees what was wrong]	InstanceOf	observation
[PersonX examines PersonY carefully]. [PersonX examines PersonY carefully]	InstanceOf	inspection
[PersonX examines PersonY carefully]. [PersonX examines PersonY carefully]	InstanceOf	investigation
[PersonX examines PersonY carefully]. [PersonX examines PersonY carefully]	InstanceOf	examination
[PersonX drops hints]. [PersonX drops hints]	InstanceOf	hints
[PersonX drops hints]. [PersonX drops hints]	InstanceOf	clue
PersonX plays [videogames]. [videogames]	InstanceOf	video game
PersonX plays [videogames]. [videogames]	InstanceOf	game
[PersonX reaches for PersonX's phone]. [PersonX reaches for PersonX's phone]	InstanceOf	grabbing
PersonX performs [PersonY's task]. [PersonY's task]	InstanceOf	job
