head_event	relation	tail_event
[PersonX has done something wrong]. [PersonX has done something wrong]	InstanceOf	mistake
[PersonX has done something wrong]. [PersonX has done something wrong]	InstanceOf	error
[PersonX kisses PersonY's cheek]. [PersonX kisses PersonY's cheek]	InstanceOf	kiss
[PersonX kisses PersonY's cheek]. [PersonX kisses PersonY's cheek]	InstanceOf	close contact
[PersonX kisses PersonY's cheek]. [PersonX kisses PersonY's cheek]	InstanceOf	intimate behavior
[PersonX kisses PersonY's cheek]. [PersonX kisses PersonY's cheek]	InstanceOf	kissing
[PersonX kisses PersonY's cheek]. [PersonX kisses PersonY's cheek]	InstanceOf	personal contact
PersonX has [tons of fun]. [tons of fun]	InstanceOf	fun
PersonX has [tons of fun]. [tons of fun]	InstanceOf	enjoyment
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	cardio workout
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	activity
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	physical activity
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	running
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	sport
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	cardiovascular exercise
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	exercise
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	outdoor activity
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	cardio exercise
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	aerobic activity
[PersonX runs laps]. [PersonX runs laps]	InstanceOf	aerobic exercise
PersonX gets something [to eat]. [to eat]	InstanceOf	consuming
PersonX gets something [to eat]. [to eat]	InstanceOf	consumption
PersonX gets something [to eat]. [to eat]	InstanceOf	eating
[PersonX seems better]. [PersonX seems better]	InstanceOf	improvement
[PersonX seems better]. [PersonX seems better]	InstanceOf	wellness
[PersonX takes place as a result]. [PersonX takes place as a result]	InstanceOf	result
[PersonX takes place as a result]. [PersonX takes place as a result]	InstanceOf	outcome
[PersonX has anger problems]. [PersonX has anger problems]	InstanceOf	problem
[PersonX has anger problems]. [PersonX has anger problems]	InstanceOf	emotion
[PersonX has anger problems]. [PersonX has anger problems]	InstanceOf	aggression
[PersonX has anger problems]. [PersonX has anger problems]	InstanceOf	behavioral problem
[PersonX has anger problems]. [PersonX has anger problems]	InstanceOf	problem behavior
[PersonX has anger problems]. [PersonX has anger problems]	InstanceOf	behavior problem
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	displeasure
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	negative emotional response
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	frustration
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	emotional response
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	emotional state
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	suffering
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	negative feeling
[PersonX can not take it anymore]. [PersonX can not take it anymore]	InstanceOf	negative emotion
[PersonX holds PersonY in place]. [PersonX holds PersonY in place]	InstanceOf	restraint
[PersonX goes to work in the morning]. [PersonX goes to work in the morning]	InstanceOf	work
[PersonX goes to work in the morning]. [PersonX goes to work in the morning]	InstanceOf	employment
[PersonX goes to work in the morning]. [PersonX goes to work in the morning]	InstanceOf	job
[PersonX does an amazing job]. [PersonX does an amazing job]	InstanceOf	job performance
[PersonX does an amazing job]. [PersonX does an amazing job]	InstanceOf	job output
[PersonX runs for class president]. [PersonX runs for class president]	InstanceOf	election
[PersonX runs for class president]. [PersonX runs for class president]	InstanceOf	political action
[PersonX runs for class president]. [PersonX runs for class president]	InstanceOf	campaigning
PersonX makes [a turn]. [a turn]	InstanceOf	maneuver
PersonX makes [a turn]. [a turn]	InstanceOf	turn
PersonX makes [a turn]. [a turn]	InstanceOf	movement
[PersonX buys the house]. [PersonX buys the house]	InstanceOf	purchasing
[PersonX buys the house]. [PersonX buys the house]	InstanceOf	new house
[PersonX buys the house]. [PersonX buys the house]	InstanceOf	purchase
[PersonX buys the house]. [PersonX buys the house]	InstanceOf	buying
[PersonX wants so badly]. [PersonX wants so badly]	InstanceOf	longing
[PersonX wants so badly]. [PersonX wants so badly]	InstanceOf	hope
[PersonX wants so badly]. [PersonX wants so badly]	InstanceOf	craving
[PersonX wants so badly]. [PersonX wants so badly]	InstanceOf	needs
[PersonX performs PersonY's analysis]. [PersonX performs PersonY's analysis]	InstanceOf	analysis
[PersonX goes to the library to study]. [PersonX goes to the library to study]	InstanceOf	study
[PersonX finally joined]. [PersonX finally joined]	InstanceOf	join
[PersonX finally joined]. [PersonX finally joined]	InstanceOf	participant
[PersonX finally joined]. [PersonX finally joined]	InstanceOf	membership
[PersonX finally joined]. [PersonX finally joined]	InstanceOf	sign up
[PersonX gets PersonY's share]. [PersonX gets PersonY's share]	InstanceOf	taking
[PersonX gets PersonY's share]. [PersonX gets PersonY's share]	InstanceOf	earning
[PersonX gets PersonY's share]. [PersonX gets PersonY's share]	InstanceOf	possession
[PersonX gets PersonY's share]. [PersonX gets PersonY's share]	InstanceOf	share
[PersonX gets PersonY's share]. [PersonX gets PersonY's share]	InstanceOf	receiving
